id,license_number,primary_owner,office_of_application,business_name,business_address,county,census_tract,licensee,license_type_status,status_date,original_issue_date,expiration_date,duplicate,conditions,operating_restrictions,disciplinary_action,disciplinary_history,holds,escrows,from_license_number,transferred_on,to_license_number,transferred_on2,place_name,website,types,business_status,fee_code,master,transfers,business_name_secondary,business_address_secondary,phone_number,license_type,primary_name,dba_name,prem_addr_1,prem_addr_2,prem_city,prem_state,prem_zip,yelp_link,yelp_name,yelp_phone,yelp_website,yelp_rating,output_lincense_file_status,yelp_file_status
103,403596,BANGKOK INTERNATIONAL INC,25 - SAN JOSE,THAIPHOON RESTAURANT,543 EMERSON ST   PALO ALTO  CA  94301,SANTA CLARA,5113.02,BANGKOK INTERNATIONAL INC,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,Reg. Number:        07067140        Section:25658(a)Section:24200(a&b)            Proceeding Status:            CLOSED                    Decision:            POIC                        Suspension Days:            10                        POIC/Fine:            939.5,No Active Holds found,No Escrow found,47-351388,,N/A,,Thaiphoon restaurant,http://thaiphoononline.net/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,THAIPHOON RESTAURANT,543 EMERSON ST   PALO ALTO  CA  94301,+1 650-323-7700,47 - ON-SALE GENERAL EATING PLACE,BANGKOK INTERNATIONAL INC,THAIPHOON RESTAURANT,543 EMERSON ST,,PALO ALTO,CA,94301,https://www.yelp.nl/biz/thaiphoon-palo-alto?osq=THAIPHOON+RESTAURANT,Thaiphoon,(650) 323-7700,https://thaiphoononline.net,3.3,True,True
104,408304,NUNEZ  GERMAN,11 - SANTA ANA,COSTA AZUL RESTAURANT,2401 S FAIRVIEW ST   SANTA ANA  CA  92704,ORANGE,741.06,NUNEZ  JORGE| NUNEZ  GERMAN| NUNEZ  ROBELICIA,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,Hold Type:                    SPECIAL HOLD                    Hold Date:                    29-MAR-2006,No Escrow found,N/A,,N/A,,Costa Azul,https://www.eatcostaazul.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,COSTA AZUL RESTAURANT,2401 S FAIRVIEW ST   SANTA ANA  CA  92704,+1 714-434-7544,47 - ON-SALE GENERAL EATING PLACE,NUNEZ  GERMAN,COSTA AZUL RESTAURANT,2401 S FAIRVIEW ST,,SANTA ANA,CA,92704-5323,https://www.yelp.nl/biz/costa-azul-restaurant-santa-ana?osq=COSTA+AZUL+RESTAURANT,Costa Azul Restaurant,(714) 434-7544,https://eatcostaazul.com,3.1,True,True
105,411342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
106,117568,WATER VIEW RESTAURANTS INC,10 - SAN DIEGO,EDGEWATER GRILL,861 W HARBOR DR   SAN DIEGO  CA  92101,SAN DIEGO,51.03,WATER VIEW RESTAURANTS INC,ACTIVE,,,,,N/A,The primary business of the licensed premises shall always remain a restaurant. There shall be no pool tables or coin operated games permitted on the premises. The quarterly annual sales of alcoholic beverages shall not exceed the quarterly annual sales of food.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,Edgewater Grill,http://www.edgewatergrill.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,EDGEWATER GRILL,861 W HARBOR DR   SAN DIEGO  CA  92101,+1 619-232-7581,47 - ON-SALE GENERAL EATING PLACE,WATER VIEW RESTAURANTS INC,EDGEWATER GRILL,861 W HARBOR DR,,SAN DIEGO,CA,92101,https://www.yelp.nl/biz/edgewater-grill-san-diego?osq=EDGEWATER+GRILL,Edgewater Grill,(619) 232-7581,https://edgewatergrill.com,2.9,True,True
107,480964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
108,433353,TRIALS PUB,25 - SAN JOSE,TRIALS PUB,265 N 1ST ST   SAN JOSE  CA  95113,SANTA CLARA,5008.00,TRIALS PUB,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-392175,,N/A,,Trials Pub,http://www.trialspub.com/,  bar |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,TRIALS PUB,265 N 1ST ST   SAN JOSE  CA  95113,+1 408-947-0497,47 - ON-SALE GENERAL EATING PLACE,TRIALS PUB,TRIALS PUB,265 N 1ST ST,,SAN JOSE,CA,95113,https://www.yelp.nl/biz/la-catalana-san-jose,La Catalana,(408) 324-1321,https://lacatalanatapas.com,3.9,True,True
109,394782,66 CALIFORNIA INC,12 - VENTURA,CAFE FIORE,66 S CALIFORNIA ST   VENTURA  CA  93001,VENTURA,24.00,66 CALIFORNIA INC,ACTIVE,,,,,N/A,Sales  service and consumption of alcoholic beverages shall be permitted only between the hours of 11:30 AM  and 01:30 AM each day of the week. The quarterly gross sales of alcoholic beverages shall not exceed the quarterly gross sales of food during the same period.  The licensee shall at all times maintain records which reflect separately the gross sale of food and the gross sales of alcoholic beverages of the licensed business.  Said records shall be kept no less frequently than on a quarterly basis and shall be made available to the Department on demand. During normal meal hours  the premises must possess the necessary utensils  table service  and condiment dispensers with which to serve meals to the public. Entertainment provided shall not be audible beyond the area under the control of the licensee(s)  as defined on the most recently certified ABC-257. If deemed necessary by the Department or by the City of Ventura  security will be provided on Friday and Saturday nights. The sale of alcoholic beverages for consumption off the premises is strictly prohibited. The petitioner(s) shall be responsible for maintaining free of litter the area adjacent to the premises over which they have control  as depicted on the most recently certified ABC-257 and ABC-253. Any graffiti painted or marked upon the premises or on any adjacent area under the control of the licensee(s)  as depicted on the most recently certified ABC-257 and ABC-253  shall be removed or painted over within 48 hours of being applied.,No Active Disciplinary Action found,Reg. Number:        14079851        Section:23804Section:24200(A&B)            Proceeding Status:            CLOSED                    Decision:            ALL STAYED,No Active Holds found,No Escrow found,47-378340,,N/A,,Cafe Fiore,https://www.cafefiore.net/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,CAFE FIORE,66 S CALIFORNIA ST   VENTURA  CA  93001,+1 805-653-1266,47 - ON-SALE GENERAL EATING PLACE,66 CALIFORNIA INC,CAFE FIORE,66 S CALIFORNIA ST,,VENTURA,CA,93001,https://www.yelp.nl/biz/cafe-fiore-ventura?osq=CAFE+FIORE,Cafe Fiore,(805) 653-1266,https://cafefiore.net,3.6,True,True
110,299649,CASBAH ROCK INC,10 - SAN DIEGO,CASBAH THE,2501 KETTNER BLVD   SAN DIEGO  CA  92101,SAN DIEGO,61.00,CASBAH ROCK INC,ACTIVE,,,,,CODE 8 - SELF-INCORPORATION - HISTORICAL VALUE,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,48-291160,,N/A,,Casbah,http://www.casbahmusic.com/,  point_of_interest |   establishment,OPERATIONAL,P40,Y,1,CASBAH THE,2501 KETTNER BLVD   SAN DIEGO  CA  92101,+1 619-232-4355,48 - ON-SALE GENERAL PUBLIC PREMISES,CASBAH ROCK INC,CASBAH THE,2501 KETTNER BLVD,,SAN DIEGO,CA,92101,https://www.yelp.nl/biz/the-casbah-san-diego?osq=CASBAH+THE,The Casbah,(619) 232-4355,https://casbahmusic.com,4.4,True,True
111,294323,A J CALOR INC,11 - SANTA ANA,EL CALOR,2916 W LINCOLN AVE   ANAHEIM  CA  92801,ORANGE,869.03,A J CALOR INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,Reg. Number:        97039493        Section:25663(a)Section:25658(a)Section:24200(a&b)            Proceeding Status:            CLOSED                    Decision:            POIC                        Suspension Days:            15                        Stayed Days:            5                        POIC/Fine:            3000,No Active Holds found,No Escrow found,47-294323,,N/A,,El Calor Mexican,,  night_club |   bar |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,EL CALOR,2916 W LINCOLN AVE   ANAHEIM  CA  92801,+1 714-527-8873,48 - ON-SALE GENERAL PUBLIC PREMISES,A J CALOR INC,EL CALOR,2916 W LINCOLN AVE,,ANAHEIM,CA,92801-6245,https://www.yelp.nl/biz/el-calor-mexican-restaurant-and-nightclub-anaheim?osq=EL+CALOR,El Calor Mexican Restaurant & Nightclub,(714) 527-8873,not url,2.5,True,True
112,48514,LAS CASUELAS NUEVAS INC,08 - PALM DESERT,LAS CASUELAS NUEVAS,70050 HIGHWAY 111   RANCHO MIRAGE  CA  92270,RIVERSIDE,451.03,LAS CASUELAS NUEVAS INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,Reg. Number:        08068636        Section:25658(a)Section:24200(a)            Proceeding Status:            CLOSED                    Decision:            SUSPEND                        Suspension Days:            30                        Stayed Days:            15                        Suspension Start Date:            14-AUG-2008                        Suspension End Date:            28-AUG-2008,No Active Holds found,No Escrow found,N/A,,N/A,,Las Casuelas Nuevas,http://www.lascasuelasnuevas.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P0,Y,1,LAS CASUELAS NUEVAS,70050 HIGHWAY 111   RANCHO MIRAGE  CA  92270,+1 760-328-8844,47 - ON-SALE GENERAL EATING PLACE,LAS CASUELAS NUEVAS INC,LAS CASUELAS NUEVAS,70050 HIGHWAY 111,,RANCHO MIRAGE,CA,92270-2924,https://www.yelp.nl/biz/las-casuelas-nuevas-rancho-mirage?osq=LAS+CASUELAS+NUEVAS,Las Casuelas Nuevas,(760) 328-8844,https://lascasuelasnuevas.com,3.4,True,True
113,361320,J PAR INC,10 - SAN DIEGO,BLUE AGAVE NIGHTCLUB,6608 MISSION GORGE RD   SAN DIEGO  CA  92120,SAN DIEGO,95.09,J PAR INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,Blue Agave Night Club,,  night_club |   bar |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,BLUE AGAVE NIGHTCLUB,6608 MISSION GORGE RD   SAN DIEGO  CA  92120,+1 619-521-3194,48 - ON-SALE GENERAL PUBLIC PREMISES,J PAR INC,BLUE AGAVE NIGHTCLUB,6608 MISSION GORGE RD,,SAN DIEGO,CA,92120,,,,,,True,True
114,305347,KOROYAN  ARTHUR,21 - FRESNO,GEORGES BAR & GRILL,6680 N BLACKSTONE AVE   FRESNO  CA  93710,FRESNO,45.04,KOROYAN  ARTHUR,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-224960,,N/A,,George's Bar & Grill,https://georgesbarandgrill.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,GEORGES BAR & GRILL,6680 N BLACKSTONE AVE   FRESNO  CA  93710,+1 559-436-1654,47 - ON-SALE GENERAL EATING PLACE,KOROYAN  ARTHUR,GEORGES BAR & GRILL,6680 N BLACKSTONE AVE,,FRESNO,CA,93710,https://www.yelp.nl/biz/burger-king-fresno-15,Burger King,(559) 492-2985,https://burgerking.com,1.1,True,True
115,460770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
116,111763,LOBUE  LAWRENCE M,25 - SAN JOSE,SANTA TERESA GOLF CLUB,260 BERNAL RD   SAN JOSE  CA  95119,SANTA CLARA,5119.11,MCENERY  JOHN P III| LOBUE  VICTOR J JR| RAWITSER  MICHAEL| STAEDLER  RUDY| LOBUE  LAWRENCE M,ACTIVE,,,,,23824 CITY/COUNTY OWNED PROPERTY  PERS-PERS ONLY,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,Santa Teresa Golf Club,http://www.santateresagolf.com/,  point_of_interest |   establishment,OPERATIONAL,P0,Y,1,SANTA TERESA GOLF CLUB,260 BERNAL RD   SAN JOSE  CA  95119,+1 408-225-2650,47 - ON-SALE GENERAL EATING PLACE,LOBUE  LAWRENCE M,SANTA TERESA GOLF CLUB,260 BERNAL RD,,SAN JOSE,CA,95119,https://www.yelp.nl/biz/santa-teresa-golf-club-san-jose-5?osq=SANTA+TERESA+GOLF+CLUB,Santa Teresa Golf Club,(408) 225-2650,https://santateresagolf.com,3.1,True,True
117,434270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
118,421031,GLENEAGLES GOLF PARTNERS L-PSHIP,24 - SAN FRANCISCO,GLENEAGLES GC AT MCLAREN PARK,2100 SUNNYDALE AVE   SAN FRANCISCO  CA  94134,SAN FRANCISCO,9805.01,GLENEAGLES GOLF PARTNERS L-PSHIP,ACTIVE,,,,,23824 CITY/COUNTY OWNED PROPERTY  PERS-PERS ONLY,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-123471,,N/A,,Gleneagles GC at McLaren Park,http://www.gleneaglesgolfsf.com/,  point_of_interest |   establishment,OPERATIONAL,P40,Y,1,GLENEAGLES GC AT MCLAREN PARK,2100 SUNNYDALE AVE   SAN FRANCISCO  CA  94134,+1 415-587-2425,47 - ON-SALE GENERAL EATING PLACE,GLENEAGLES GOLF PARTNERS L-PSHIP,GLENEAGLES GC AT MCLAREN PARK,2100 SUNNYDALE AVE,,SAN FRANCISCO,CA,94134-2614,,,,,,True,True
119,151565,ELIOPOULOS  GUS,22 - CONCORD,ELIOS L RESTAURANT,260 FLORESTA BLVD   SAN LEANDRO  CA  94578,ALAMEDA,4332.00,ELIOPOULOS  GUS| ELIOPOULOS  LEFTY,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,Elios Family Restaurant,http://eliosdining.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,ELIOS L RESTAURANT,260 FLORESTA BLVD   SAN LEANDRO  CA  94578,+1 510-351-0463,47 - ON-SALE GENERAL EATING PLACE,ELIOPOULOS  GUS,ELIOS L RESTAURANT,260 FLORESTA BLVD,,SAN LEANDRO,CA,94578,,,,,,True,True
120,386741,GOLDEN STATE CONCESSIONS AND CATERING INC,07 - RIVERSIDE,LAKE ELSINORE DIAMOND,500 DIAMOND DR   LAKE ELSINORE  CA  92530,RIVERSIDE,430.01,GOLDEN STATE CONCESSIONS AND CATERING INC,ACTIVE,,,,,23824 CITY/COUNTY OWNED PROPERTY  PERS-PERS ONLY,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-351888,,N/A,,Diamond Stadium of Lake Elsinore,https://www.milb.com/lake-elsinore,  stadium |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,LAKE ELSINORE DIAMOND,500 DIAMOND DR   LAKE ELSINORE  CA  92530,+1 951-245-4487,47 - ON-SALE GENERAL EATING PLACE,GOLDEN STATE CONCESSIONS AND CATERING INC,LAKE ELSINORE DIAMOND,500 DIAMOND DR,,LAKE ELSINORE,CA,92530-4457,https://www.yelp.nl/biz/lake-elsinore-storm-lake-elsinore-2?osq=LAKE+ELSINORE+DIAMOND,Lake Elsinore Storm,(951) 245-4487,https://stormbaseball.com,3.9,True,True
121,473085,DIVISADERO 500 LLC,24 - SAN FRANCISCO,MADRONE ART BAR,500 DIVISADERO ST   SAN FRANCISCO  CA  94117,SAN FRANCISCO,164.00,DIVISADERO 500 LLC,ACTIVE,,,,,N/A,Except as provided in Condition #2 below  no noise shall be audible beyond the area under the control of the licensee  as depicted on the most recently certified ABC-257. Any noise caused by entertainment or amplified sound that is subject to the provisions of an active Entertainment Permit issued by the San Francisco Entertainment Commission shall be authorized in accordance with the limits established by that Entertainment Permit  including any limitation on hours during which entertainment or amplified sound is permitted. A violation of the entertainment or amplified sound noise conditions of the Entertainment Permit  as determined by the San Francisco Entertainment Commission (or any successor agency)  shall be deemed to be a violation of this Condition. Any noise that is not subject to  or is beyond the scope of  the Entertainment Permit shall be subject to Condition #1 above. �Entertainment Permit� means any of the following: a Just Add Music permit  a Limited Live Performance permit  a Place of Entertainment permit  a Fixed Place Amplified Sound permit  or any similar such permit issued by the San Francisco Entertainment Commission. When there is live entertainment  the petitioner(s) shall provide security personnel after 9:00 p.m. on Fridays and Saturdays.  Said personnel shall maintain order therein; and prevent any activity that would interfere with the quiet enjoyment of their property by nearby residents.  Said personnel shall be clothed in such a manner as to be readily identifiable as security.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,48-401324,,N/A,,Madrone Art Bar,http://www.madroneartbar.com/,  bar |   night_club |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,MADRONE ART BAR,500 DIVISADERO ST   SAN FRANCISCO  CA  94117,+1 415-241-0202,48 - ON-SALE GENERAL PUBLIC PREMISES,DIVISADERO 500 LLC,MADRONE ART BAR,500 DIVISADERO ST,,SAN FRANCISCO,CA,94117-2213,https://www.yelp.nl/biz/madrone-art-bar-san-francisco?osq=MADRONE+ART+BAR,Madrone Art Bar,(415) 241-0202,https://madroneartbar.com,3.6,True,True
122,120063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
123,408401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
124,457298,DERBY RESTAURANT ARCADIA INC,02 - MONROVIA,DERBY RESTAURANT,233 E HUNTINGTON DR   ARCADIA  CA  91006,LOS ANGELES,4308.01,DERBY RESTAURANT ARCADIA INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-252109,,N/A,,The Derby,https://www.thederbyarcadia.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,DERBY RESTAURANT,233 E HUNTINGTON DR   ARCADIA  CA  91006,+1 626-447-2430,47 - ON-SALE GENERAL EATING PLACE,DERBY RESTAURANT ARCADIA INC,DERBY RESTAURANT,233 E HUNTINGTON DR,,ARCADIA,CA,91006-3745,https://www.yelp.nl/biz/the-derby-arcadia?osq=DERBY+RESTAURANT,The Derby,(626) 631-2516,https://thederbyarcadia.com,4.3,True,True
125,322889,CAPO L-PSHIP,03 - LB/LAKEWOOD,CAPO,1810 OCEAN AVE   SANTA MONICA  CA  90401,LOS ANGELES,7019.02,CAPO L-PSHIP,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-271111,,N/A,,Capo,http://www.caporestaurant.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,CAPO,1810 OCEAN AVE   SANTA MONICA  CA  90401,+1 310-394-5550,47 - ON-SALE GENERAL EATING PLACE,CAPO L-PSHIP,CAPO,1810 OCEAN AVE,,SANTA MONICA,CA,90401,https://www.yelp.nl/biz/capo-santa-monica?osq=CAPO,Capo,(310) 394-5550,https://caporestaurant.com,3.9,True,True
